Dates,Price,Destination,HotelName,InviaCode,Operator,MealType
"10.9. - 17.9.
							(8 dní)",22060,Rhodos,Kiotari Bay,21754,Fischer,All Inclusive
"8.9. - 15.9.
							(8 dní)",12983,Rhodos,Studio Margaret,48931,Solartour SK,Polopenze
"8.9. - 15.9.
							(8 dní)",14275,Rhodos,Studio Margaret,48931,Solartour SK,All Inclusive
"9.9. - 16.9.
							(8 dní)",13100,Rhodos,Studio Margaret,48931,My Planet (Travel Planet),Polopenze
"8.9. - 15.9.
							(8 dní)",37115,Rhodos,Sentido Apollo Blue,49207,Firo-tour SK,All Inclusive
"8.9. - 15.9.
							(8 dní)",31242,Rhodos,Sentido Apollo Blue,49207,Firo-tour SK,Polopenze
"9.9. - 16.9.
							(8 dní)",34176,Rhodos,Sentido Apollo Blue,49207,Neckermann CZ,Polopenze
"9.9. - 16.9.
							(8 dní)",11990,Rhodos,Summerland Hotel & Bungalows,98440,Electra Tours,Snídaně
"9.9. - 16.9.
							(8 dní)",12150,Rhodos,Summerland Hotel & Bungalows,98440,Electra Tours,Bez stravy
"8.9. - 15.9.
							(8 dní)",30270,Rhodos,Elysium Resort and Spa,30030,Fischer,Polopenze
"8.9. - 15.9.
							(8 dní)",39890,Rhodos,Elysium Resort and Spa,30030,Greece tours,Snídaně
"8.9. - 16.9.
							(9 dní)",30441,Rhodos,Elysium Resort and Spa,30030,,Polopenze
"8.9. - 15.9.
							(8 dní)",11607,Rhodos,Pals Studios,101437,Brenna,Bez stravy
"28.7. - 4.8.
							(8 dní)",36985,Rhodos,Sentido Apollo Blue,49207,Firo-tour SK,Polopenze
"28.7. - 4.8.
							(8 dní)",43983,Rhodos,Sentido Apollo Blue,49207,Firo-tour SK,All Inclusive
"29.7. - 5.8.
							(8 dní)",31713,Rhodos,Sentido Apollo Blue,49207,Neckermann CZ,Polopenze
"29.7. - 5.8.
							(8 dní)",13490,Rhodos,Summerland Hotel & Bungalows,98440,Electra Tours,Snídaně
"29.7. - 5.8.
							(8 dní)",13090,Rhodos,Summerland Hotel & Bungalows,98440,Electra Tours,Bez stravy
"28.7. - 4.8.
							(8 dní)",33480,Rhodos,Elysium Resort and Spa,30030,Fischer,Polopenze
"28.7. - 4.8.
							(8 dní)",46030,Rhodos,Elysium Resort and Spa,30030,Greece tours,Snídaně
"28.7. - 5.8.
							(9 dní)",34211,Rhodos,Elysium Resort and Spa,30030,,Polopenze
"28.7. - 4.8.
							(8 dní)",12951,Rhodos,Pals Studios,101437,Brenna,Bez stravy
"28.7. - 4.8.
							(8 dní)",18266,Rhodos,Romanza Mare I.,9011,Hydrotour SK,All Inclusive
"30.7. - 6.8.
							(8 dní)",18266,Rhodos,Romanza Mare I.,9011,Hydrotour SK,All Inclusive
"29.7. - 5.8.
							(8 dní)",26600,Rhodos,Ocean Blue,21731,My Planet (Travel Planet),All Inclusive
"30.7. - 6.8.
							(8 dní)",14280,Rhodos,Argo,98390,Fischer,Snídaně
"30.7. - 6.8.
							(8 dní)",15680,Rhodos,Argo,98390,Fischer,Polopenze
"30.7. - 6.8.
							(8 dní)",12880,Rhodos,Argo,98390,Fischer,Bez stravy
"29.7. - 5.8.
							(8 dní)",27350,Rhodos,PrimaSol Aquis Miraluna Seaside,100930,My Planet (Travel Planet),All Inclusive
"4.8. - 11.8.
							(8 dní)",14932,Rhodos,Studia Thalassa,9501,Alexandria,Bez stravy
"6.8. - 13.8.
							(8 dní)",16011,Rhodos,Studia Thalassa,9501,Alexandria,Bez stravy
"4.8. - 11.8.
							(8 dní)",26680,Rhodos,Kiotari Bay,21754,Fischer,All Inclusive
"6.8. - 13.8.
							(8 dní)",25680,Rhodos,Kiotari Bay,21754,Fischer,All Inclusive
"5.8. - 12.8.
							(8 dní)",13490,Rhodos,Summerland Hotel & Bungalows,98440,Electra Tours,Snídaně
"5.8. - 12.8.
							(8 dní)",13090,Rhodos,Summerland Hotel & Bungalows,98440,Electra Tours,Bez stravy
"4.8. - 11.8.
							(8 dní)",36985,Rhodos,Sentido Apollo Blue,49207,Firo-tour SK,Polopenze
"4.8. - 11.8.
							(8 dní)",43983,Rhodos,Sentido Apollo Blue,49207,Firo-tour SK,All Inclusive
"5.8. - 12.8.
							(8 dní)",31713,Rhodos,Sentido Apollo Blue,49207,Neckermann CZ,Polopenze
"4.8. - 11.8.
							(8 dní)",33480,Rhodos,Elysium Resort and Spa,30030,Fischer,Polopenze
"4.8. - 11.8.
							(8 dní)",46030,Rhodos,Elysium Resort and Spa,30030,Greece tours,Snídaně
"4.8. - 12.8.
							(9 dní)",34211,Rhodos,Elysium Resort and Spa,30030,,Polopenze
"4.8. - 11.8.
							(8 dní)",12951,Rhodos,Pals Studios,101437,Brenna,Bez stravy
"4.8. - 11.8.
							(8 dní)",18266,Rhodos,Romanza Mare I.,9011,Hydrotour SK,All Inclusive
"6.8. - 13.8.
							(8 dní)",18266,Rhodos,Romanza Mare I.,9011,Hydrotour SK,All Inclusive
"6.8. - 13.8.
							(8 dní)",14280,Rhodos,Argo,98390,Fischer,Snídaně
"6.8. - 13.8.
							(8 dní)",15680,Rhodos,Argo,98390,Fischer,Polopenze
"6.8. - 13.8.
							(8 dní)",12880,Rhodos,Argo,98390,Fischer,Bez stravy
"19.8. - 26.8.
							(8 dní)",13290,Rhodos,Summerland Hotel & Bungalows,98440,Electra Tours,Snídaně
"19.8. - 26.8.
							(8 dní)",12890,Rhodos,Summerland Hotel & Bungalows,98440,Electra Tours,Bez stravy
"18.8. - 25.8.
							(8 dní)",33380,Rhodos,Elysium Resort and Spa,30030,Fischer,Polopenze
"18.8. - 25.8.
							(8 dní)",44650,Rhodos,Elysium Resort and Spa,30030,Greece tours,Snídaně
"18.8. - 26.8.
							(9 dní)",33741,Rhodos,Elysium Resort and Spa,30030,,Polopenze
"18.8. - 25.8.
							(8 dní)",18266,Rhodos,Romanza Mare I.,9011,Hydrotour SK,All Inclusive
"20.8. - 27.8.
							(8 dní)",18266,Rhodos,Romanza Mare I.,9011,Hydrotour SK,All Inclusive
"18.8. - 25.8.
							(8 dní)",12951,Rhodos,Pals Studios,101437,Brenna,Bez stravy
"19.8. - 26.8.
							(8 dní)",26600,Rhodos,Ocean Blue,21731,My Planet (Travel Planet),All Inclusive
"19.8. - 26.8.
							(8 dní)",27350,Rhodos,PrimaSol Aquis Miraluna Seaside,100930,My Planet (Travel Planet),All Inclusive
"18.8. - 25.8.
							(8 dní)",14990,Rhodos,Carina,8015,Inex,Snídaně
"19.8. - 26.8.
							(8 dní)",14990,Rhodos,Carina,8015,Inex,Snídaně
"20.8. - 27.8.
							(8 dní)",14990,Rhodos,Carina,8015,Inex,Snídaně
"19.8. - 26.8.
							(8 dní)",21250,Rhodos,Aqua Beach Blue Bay Family World,101135,My Planet (Travel Planet),All Inclusive
"30.6. - 7.7.
							(8 dní)",31870,Rhodos,Rodos Park Suites & Spa,104539,Greece tours,Snídaně
"30.6. - 7.7.
							(8 dní)",25690,Rhodos,Nikos Takis Fashion,104524,Greece tours,Bez stravy
"1.7. - 8.7.
							(8 dní)",25150,Rhodos,Port Royal Villas & Spa,83718,Electra Tours,Snídaně
"1.7. - 8.7.
							(8 dní)",33190,Rhodos,Port Royal Villas & Spa,83718,Electra Tours,Plná penze
"1.7. - 8.7.
							(8 dní)",29150,Rhodos,Port Royal Villas & Spa,83718,Electra Tours,Polopenze
"30.6. - 7.7.
							(8 dní)",17788,Rhodos,Virginia Family Suites,107409,Solartour SK,All Inclusive
"2.7. - 9.7.
							(8 dní)",16664,Rhodos,Virginia Family Suites,107409,Solartour SK,All Inclusive
"30.6. - 7.7.
							(8 dní)",27240,Rhodos,Esperos Palace,8162,Greece tours,Polopenze
"30.6. - 7.7.
							(8 dní)",15259,Rhodos,Ziakis,104354,Solartour SK,Bez stravy
"2.7. - 9.7.
							(8 dní)",13685,Rhodos,Ziakis,104354,Solartour SK,Bez stravy
"30.6. - 7.7.
							(8 dní)",18990,Rhodos,Atlantis City,98598,Greece tours,Snídaně
"30.6. - 7.7.
							(8 dní)",15735,Rhodos,Astron,7906,Brenna,Snídaně
"2.9. - 9.9.
							(8 dní)",11190,Rhodos,Maran,25991,Electra Tours,Snídaně
"2.9. - 9.9.
							(8 dní)",10750,Rhodos,Maran,25991,Electra Tours,Bez stravy
"2.9. - 9.9.
							(8 dní)",11537,Rhodos,Steves,29279,Maxi Reisen,Bez stravy
"3.9. - 10.9.
							(8 dní)",10982,Rhodos,Steves,29279,Maxi Reisen,Bez stravy
"1.9. - 8.9.
							(8 dní)",15121,Rhodos,Studia Thalassa,9501,Alexandria,Bez stravy
"3.9. - 10.9.
							(8 dní)",15121,Rhodos,Studia Thalassa,9501,Alexandria,Bez stravy
"1.9. - 8.9.
							(8 dní)",22970,Rhodos,Kiotari Bay,21754,Fischer,All Inclusive
"3.9. - 10.9.
							(8 dní)",21970,Rhodos,Kiotari Bay,21754,Fischer,All Inclusive
"1.9. - 8.9.
							(8 dní)",37115,Rhodos,Sentido Apollo Blue,49207,Firo-tour SK,All Inclusive
"1.9. - 8.9.
							(8 dní)",31242,Rhodos,Sentido Apollo Blue,49207,Firo-tour SK,Polopenze
"2.9. - 9.9.
							(8 dní)",27895,Rhodos,Sentido Apollo Blue,49207,Neckermann CZ,Polopenze
"2.9. - 9.9.
							(8 dní)",11890,Rhodos,Summerland Hotel & Bungalows,98440,Electra Tours,Snídaně
"2.9. - 9.9.
							(8 dní)",12050,Rhodos,Summerland Hotel & Bungalows,98440,Electra Tours,Bez stravy
"1.9. - 8.9.
							(8 dní)",30270,Rhodos,Elysium Resort and Spa,30030,Fischer,Polopenze
"1.9. - 8.9.
							(8 dní)",41200,Rhodos,Elysium Resort and Spa,30030,Greece tours,Snídaně
"1.9. - 9.9.
							(9 dní)",30341,Rhodos,Elysium Resort and Spa,30030,,Polopenze
"1.9. - 8.9.
							(8 dní)",17704,Rhodos,Romanza Mare I.,9011,Hydrotour SK,All Inclusive
"3.9. - 10.9.
							(8 dní)",17170,Rhodos,Romanza Mare I.,9011,Hydrotour SK,All Inclusive
"9.6. - 16.6.
							(8 dní)",29840,Rhodos,Elysium Resort and Spa,30030,Air Marine,Polopenze
"9.6. - 18.6.
							(10 dní)",37990,Rhodos,Elysium Resort and Spa,30030,Snail Travel Int.,Polopenze
"10.6. - 17.6.
							(8 dní)",28250,Rhodos,Elysium Resort and Spa,30030,Azur Reizen,Polopenze
