Dates,Hotel,Airport,InviaCode,Operator,MealType,Minute
"5.5. - 12.5.
							(8 dní)",Asteria,Letecky - Praha,101143,Fischer,Snídaně,FM
"5.5. - 12.5.
							(8 dní)",Boutique 5 Hotel & Spa,Letecky - Praha,101120,Fischer,Polopenze,FM
"2.5. - 9.5.
							(8 dní)",Mistral,Letecky - Vídeň,52774,Solartour SK,All Inclusive,
"4.5. - 11.5.
							(8 dní)",Mistral,Letecky - Vídeň,52774,Solartour SK,All Inclusive,
"2.5. - 9.5.
							(8 dní)",Dionysos Hotel,Letecky - Vídeň,72160,Solartour SK,Snídaně,-25%
"2.5. - 9.5.
							(8 dní)",Dionysos Hotel,Letecky - Vídeň,72160,Solartour SK,Polopenze,
"4.5. - 11.5.
							(8 dní)",Dionysos Hotel,Letecky - Vídeň,72160,Solartour SK,Snídaně,-24%
"4.5. - 11.5.
							(8 dní)",Dionysos Hotel,Letecky - Vídeň,72160,Solartour SK,Polopenze,
"5.5. - 12.5.
							(8 dní)",Dodeca Sea Resort,Letecky - Praha,107611,Fischer,All Inclusive,FM
"5.5. - 12.5.
							(8 dní)",Triantafillas,Letecky - Praha,104764,Fischer,Bez stravy,FM
"5.5. - 12.5.
							(8 dní)",Triantafillas,Letecky - Praha,104764,Fischer,Snídaně,FM
"5.5. - 12.5.
							(8 dní)",Atlantica Imperial Resort,Letecky - Praha,7925,Fischer,Polopenze,
"5.5. - 12.5.
							(8 dní)",Atlantica Imperial Resort,Letecky - Praha,7925,Fischer,All Inclusive,
"9.4. - 16.4.
							(8 dní)",International,Letecky - Vídeň,8371,Eti Slovensko SK,Snídaně,Last minute
"9.4. - 23.4.
							(15 dní)",International,Letecky - Vídeň,8371,Eti Slovensko SK,Snídaně,Last minute
"16.4. - 23.4.
							(8 dní)",International,Letecky - Vídeň,8371,Eti Slovensko SK,Snídaně,
"16.4. - 30.4.
							(15 dní)",International,Letecky - Vídeň,8371,Eti Slovensko SK,Snídaně,
"23.4. - 30.4.
							(8 dní)",International,Letecky - Vídeň,8371,Eti Slovensko SK,Snídaně,
"23.4. - 7.5.
							(15 dní)",International,Letecky - Vídeň,8371,Eti Slovensko SK,Snídaně,
"30.4. - 7.5.
							(8 dní)",International,Letecky - Vídeň,8371,Eti Slovensko SK,Snídaně,
"2.5. - 9.5.
							(8 dní)",Eden Roc Resort,Letecky - Vídeň,8302,Solartour SK,Snídaně,
"2.5. - 9.5.
							(8 dní)",Eden Roc Resort,Letecky - Vídeň,8302,Solartour SK,All Inclusive,
"4.5. - 11.5.
							(8 dní)",Eden Roc Resort,Letecky - Vídeň,8302,Solartour SK,All Inclusive,
"4.5. - 11.5.
							(8 dní)",Eden Roc Resort,Letecky - Vídeň,8302,Solartour SK,Snídaně,
"2.5. - 9.5.
							(8 dní)",Rodos Blue,Letecky - Vídeň,105859,Solartour SK,Polopenze,-5%
"2.5. - 9.5.
							(8 dní)",Rodos Blue,Letecky - Vídeň,105859,Solartour SK,Snídaně,-5%
"4.5. - 11.5.
							(8 dní)",Rodos Blue,Letecky - Vídeň,105859,Solartour SK,Snídaně,-5%
"4.5. - 11.5.
							(8 dní)",Rodos Blue,Letecky - Vídeň,105859,Solartour SK,Polopenze,-5%
"30.4. - 7.5.
							(8 dní)",Elysium Resort and Spa,Letecky - Vídeň,30030,Eti Slovensko SK,Polopenze,
"30.4. - 7.5.
							(8 dní)",Elysium Resort and Spa,Letecky - Vídeň,30030,Eti Slovensko SK,Snídaně,
"5.5. - 12.5.
							(8 dní)",Elysium Resort and Spa,Letecky - Praha,30030,Fischer,Polopenze,FM
"2.5. - 9.5.
							(8 dní)",Studio Margaret,Letecky - Vídeň,48931,Solartour SK,Polopenze,
"2.5. - 9.5.
							(8 dní)",Studio Margaret,Letecky - Vídeň,48931,Solartour SK,All Inclusive,
"4.5. - 11.5.
							(8 dní)",Studio Margaret,Letecky - Vídeň,48931,Solartour SK,Polopenze,
"4.5. - 11.5.
							(8 dní)",Studio Margaret,Letecky - Vídeň,48931,Solartour SK,All Inclusive,
"5.5. - 12.5.
							(8 dní)",Kiotari Bay,Letecky - Praha,21754,Fischer,All Inclusive,FM
"2.5. - 9.5.
							(8 dní)",Corali Studios,Letecky - Vídeň,101436,Solartour SK,Snídaně,-5%
"2.5. - 9.5.
							(8 dní)",Corali Studios,Letecky - Vídeň,101436,Solartour SK,Bez stravy,-5%
"4.5. - 11.5.
							(8 dní)",Corali Studios,Letecky - Vídeň,101436,Solartour SK,Bez stravy,-5%
"4.5. - 11.5.
							(8 dní)",Corali Studios,Letecky - Vídeň,101436,Solartour SK,Snídaně,-5%
"9.4. - 16.4.
							(8 dní)",Olympic Palace,Letecky - Vídeň,8780,Eti Slovensko SK,All Inclusive,Last minute
"9.4. - 16.4.
							(8 dní)",Olympic Palace,Letecky - Vídeň,8780,Eti Slovensko SK,Polopenze,Last minute
"9.4. - 23.4.
							(15 dní)",Olympic Palace,Letecky - Vídeň,8780,Eti Slovensko SK,All Inclusive,Last minute
"9.4. - 23.4.
							(15 dní)",Olympic Palace,Letecky - Vídeň,8780,Eti Slovensko SK,Polopenze,Last minute
"16.4. - 23.4.
							(8 dní)",Olympic Palace,Letecky - Vídeň,8780,Eti Slovensko SK,Polopenze,
"16.4. - 23.4.
							(8 dní)",Olympic Palace,Letecky - Vídeň,8780,Eti Slovensko SK,All Inclusive,
"16.4. - 30.4.
							(15 dní)",Olympic Palace,Letecky - Vídeň,8780,Eti Slovensko SK,All Inclusive,
"16.4. - 30.4.
							(15 dní)",Olympic Palace,Letecky - Vídeň,8780,Eti Slovensko SK,Polopenze,
"23.4. - 30.4.
							(8 dní)",Olympic Palace,Letecky - Vídeň,8780,Eti Slovensko SK,All Inclusive,
"23.4. - 30.4.
							(8 dní)",Olympic Palace,Letecky - Vídeň,8780,Eti Slovensko SK,Polopenze,
"5.5. - 12.5.
							(8 dní)",Casa Cook Rhodes (ex. Sunprime White Pearl),Letecky - Praha,108420,Fischer,Polopenze,FM
"5.5. - 12.5.
							(8 dní)",Atrium Villas,Letecky - Praha,61861,Fischer,All Inclusive,FM
"5.5. - 12.5.
							(8 dní)",Atrium Villas,Letecky - Praha,61861,Fischer,Polopenze,FM
"30.4. - 7.5.
							(8 dní)",Esperos Village,Letecky - Vídeň,27702,Eti Slovensko SK,All Inclusive,
"2.5. - 9.5.
							(8 dní)",Paleos,Letecky - Vídeň,98599,Solartour SK,Snídaně,
"2.5. - 9.5.
							(8 dní)",Paleos,Letecky - Vídeň,98599,Solartour SK,Polopenze,
"2.5. - 9.5.
							(8 dní)",Paleos,Letecky - Vídeň,98599,Solartour SK,Bez stravy,
"4.5. - 11.5.
							(8 dní)",Paleos,Letecky - Vídeň,98599,Solartour SK,Snídaně,-5%
"4.5. - 11.5.
							(8 dní)",Paleos,Letecky - Vídeň,98599,Solartour SK,Bez stravy,-5%
"4.5. - 11.5.
							(8 dní)",Paleos,Letecky - Vídeň,98599,Solartour SK,Polopenze,-5%
"23.4. - 7.5.
							(15 dní)",Olympic Palace,Letecky - Vídeň,8780,Eti Slovensko SK,Polopenze,
"23.4. - 7.5.
							(15 dní)",Olympic Palace,Letecky - Vídeň,8780,Eti Slovensko SK,All Inclusive,
"30.4. - 7.5.
							(8 dní)",Olympic Palace,Letecky - Vídeň,8780,Eti Slovensko SK,All Inclusive,
"30.4. - 7.5.
							(8 dní)",Olympic Palace,Letecky - Vídeň,8780,Eti Slovensko SK,Polopenze,
