Dates,Destination,InviaCode,Operator,MealType,Price,Hotel,Airport,Minute
"13.7. - 27.7.
							(15 dní)",Kréta,83583,Electra Tours,Snídaně,17 050 Kč,Emerald,Letecky - Brno,FM
"16.7. - 23.7.
							(8 dní)",Kréta,83583,Electra Tours,Snídaně,12 890 Kč,Emerald,"Letecky - Praha, Brno",FM
"16.7. - 26.7.
							(11 dní)",Kréta,83583,Electra Tours,Snídaně,14 750 Kč,Emerald,Letecky - Praha,FM
"16.7. - 30.7.
							(15 dní)",Kréta,83583,Electra Tours,Snídaně,16 750 Kč,Emerald,Letecky - Praha,FM
"23.7. - 30.7.
							(8 dní)",Kréta,83583,Electra Tours,Bez stravy,12 650 Kč,Emerald,"Letecky - Praha, Brno",FM
"28.5. - 4.6.
							(8 dní)",Kréta,106880,Electra Tours,Snídaně,11 390 Kč,Palatia Village,Letecky - Praha,FM
"28.5. - 4.6.
							(8 dní)",Kréta,106880,Electra Tours,Polopenze,12 350 Kč,Palatia Village,Letecky - Praha,FM
"28.5. - 11.6.
							(15 dní)",Kréta,106880,Electra Tours,Bez stravy,13 490 Kč,Palatia Village,Letecky - Praha,FM
"28.5. - 11.6.
							(15 dní)",Kréta,106880,Electra Tours,Snídaně,15 590 Kč,Palatia Village,Letecky - Praha,FM
"28.5. - 11.6.
							(15 dní)",Kréta,106880,Electra Tours,Polopenze,17 490 Kč,Palatia Village,Letecky - Praha,FM
"1.6. - 4.6.
							(4 dny)",Kréta,106880,Electra Tours,Polopenze,10 050 Kč,Palatia Village,"Letecky - Praha, Brno",FM
"1.6. - 4.6.
							(4 dny)",Kréta,106880,Electra Tours,Snídaně,9 590 Kč,Palatia Village,"Letecky - Praha, Brno",FM
"1.6. - 4.6.
							(4 dny)",Kréta,106880,Electra Tours,Bez stravy,9 150 Kč,Palatia Village,"Letecky - Praha, Brno",FM
"1.6. - 15.6.
							(15 dní)",Kréta,106880,Electra Tours,Snídaně,15 850 Kč,Palatia Village,Letecky - Brno,FM
"1.6. - 15.6.
							(15 dní)",Kréta,106880,Electra Tours,Polopenze,17 790 Kč,Palatia Village,Letecky - Brno,FM
"23.7. - 6.8.
							(15 dní)",Kréta,60888,Electra Tours,Polopenze,40 990 Kč,ROYAL HEIGHTS RESORT,Letecky - Praha,FM
"23.7. - 6.8.
							(15 dní)",Kréta,60888,Electra Tours,Snídaně,34 290 Kč,ROYAL HEIGHTS RESORT,Letecky - Praha,FM
"26.7. - 6.8.
							(12 dní)",Kréta,60888,Electra Tours,Polopenze,35 390 Kč,ROYAL HEIGHTS RESORT,Letecky - Praha,FM
"26.7. - 6.8.
							(12 dní)",Kréta,60888,Electra Tours,Snídaně,29 950 Kč,ROYAL HEIGHTS RESORT,Letecky - Praha,FM
"27.7. - 30.7.
							(4 dny)",Kréta,60888,Electra Tours,Polopenze,15 950 Kč,ROYAL HEIGHTS RESORT,Letecky - Praha,FM
"27.7. - 30.7.
							(4 dny)",Kréta,60888,Electra Tours,Snídaně,14 490 Kč,ROYAL HEIGHTS RESORT,Letecky - Praha,FM
"27.7. - 10.8.
							(15 dní)",Kréta,60888,Electra Tours,Snídaně,35 690 Kč,ROYAL HEIGHTS RESORT,Letecky - Brno,FM
"27.7. - 10.8.
							(15 dní)",Kréta,60888,Electra Tours,Polopenze,42 650 Kč,ROYAL HEIGHTS RESORT,Letecky - Brno,FM
"30.7. - 6.8.
							(8 dní)",Kréta,60888,Electra Tours,Polopenze,25 190 Kč,ROYAL HEIGHTS RESORT,"Letecky - Praha, Brno",FM
"30.7. - 6.8.
							(8 dní)",Kréta,60888,Electra Tours,Snídaně,21 850 Kč,ROYAL HEIGHTS RESORT,"Letecky - Praha, Brno",FM
"20.7. - 3.8.
							(15 dní)",Kréta,21371,Electra Tours,Polopenze,29 250 Kč,Akti Olous,Letecky - Brno,FM
"20.7. - 3.8.
							(15 dní)",Kréta,21371,Electra Tours,Snídaně,24 350 Kč,Akti Olous,Letecky - Brno,FM
"23.7. - 30.7.
							(8 dní)",Kréta,21371,Electra Tours,Snídaně,16 290 Kč,Akti Olous,"Letecky - Praha, Brno",FM
"23.7. - 30.7.
							(8 dní)",Kréta,21371,Electra Tours,Polopenze,18 690 Kč,Akti Olous,"Letecky - Praha, Brno",FM
"23.7. - 6.8.
							(15 dní)",Kréta,21371,Electra Tours,Snídaně,24 050 Kč,Akti Olous,Letecky - Praha,FM
"23.7. - 6.8.
							(15 dní)",Kréta,21371,Electra Tours,Polopenze,28 790 Kč,Akti Olous,Letecky - Praha,FM
"26.7. - 6.8.
							(12 dní)",Kréta,21371,Electra Tours,Snídaně,21 350 Kč,Akti Olous,Letecky - Praha,FM
"26.7. - 6.8.
							(12 dní)",Kréta,21371,Electra Tours,Polopenze,25 190 Kč,Akti Olous,Letecky - Praha,FM
"27.7. - 30.7.
							(4 dny)",Kréta,21371,Electra Tours,Polopenze,13 150 Kč,Akti Olous,Letecky - Praha,FM
"27.7. - 30.7.
							(4 dny)",Kréta,21371,Electra Tours,Snídaně,12 090 Kč,Akti Olous,Letecky - Praha,FM
"3.6. - 10.6.
							(8 dní)",Zakynthos,8680,Electra Tours,Bez stravy,11 150 Kč,Mirabelle,Letecky - Praha,FM
"3.6. - 10.6.
							(8 dní)",Zakynthos,8680,Electra Tours,Polopenze,14 250 Kč,Mirabelle,Letecky - Praha,FM
"3.6. - 10.6.
							(8 dní)",Zakynthos,8680,Electra Tours,Snídaně,12 490 Kč,Mirabelle,Letecky - Praha,FM
"3.6. - 14.6.
							(12 dní)",Zakynthos,8680,Electra Tours,Polopenze,17 650 Kč,Mirabelle,Letecky - Praha,FM
"3.6. - 14.6.
							(12 dní)",Zakynthos,8680,Electra Tours,Snídaně,14 090 Kč,Mirabelle,Letecky - Praha,FM
"3.6. - 14.6.
							(12 dní)",Zakynthos,8680,Electra Tours,Bez stravy,12 990 Kč,Mirabelle,Letecky - Praha,FM
"6.6. - 13.6.
							(8 dní)",Zakynthos,8680,Electra Tours,Bez stravy,11 950 Kč,Mirabelle,Letecky - Brno,FM
"6.6. - 13.6.
							(8 dní)",Zakynthos,8680,Electra Tours,Snídaně,12 590 Kč,Mirabelle,Letecky - Brno,FM
"6.6. - 13.6.
							(8 dní)",Zakynthos,8680,Electra Tours,Polopenze,14 890 Kč,Mirabelle,Letecky - Brno,FM
"10.6. - 17.6.
							(8 dní)",Zakynthos,8680,Electra Tours,Polopenze,15 790 Kč,Mirabelle,Letecky - Praha,FM
"13.7. - 27.7.
							(15 dní)",Kréta,99783,Electra Tours,Snídaně,20 950 Kč,Diamond Village Apartments,Letecky - Brno,FM
"13.7. - 27.7.
							(15 dní)",Kréta,99783,Electra Tours,Bez stravy,18 050 Kč,Diamond Village Apartments,Letecky - Brno,FM
"15.7. - 18.7.
							(4 dny)",Kréta,99783,Electra Tours,Bez stravy,10 750 Kč,Diamond Village Apartments,Letecky - Praha,Last minute
"15.7. - 18.7.
							(4 dny)",Kréta,99783,Electra Tours,Snídaně,11 350 Kč,Diamond Village Apartments,Letecky - Praha,Last minute
"16.7. - 23.7.
							(8 dní)",Kréta,99783,Electra Tours,Bez stravy,13 150 Kč,Diamond Village Apartments,"Letecky - Praha, Brno",FM
"16.7. - 23.7.
							(8 dní)",Kréta,99783,Electra Tours,Snídaně,14 550 Kč,Diamond Village Apartments,"Letecky - Praha, Brno",FM
"16.7. - 26.7.
							(11 dní)",Kréta,99783,Electra Tours,Bez stravy,15 450 Kč,Diamond Village Apartments,Letecky - Praha,FM
"16.7. - 26.7.
							(11 dní)",Kréta,99783,Electra Tours,Snídaně,17 550 Kč,Diamond Village Apartments,Letecky - Praha,FM
"16.7. - 30.7.
							(15 dní)",Kréta,99783,Electra Tours,Bez stravy,17 750 Kč,Diamond Village Apartments,Letecky - Praha,FM
"16.7. - 30.7.
							(15 dní)",Kréta,99783,Electra Tours,Snídaně,20 550 Kč,Diamond Village Apartments,Letecky - Praha,FM
"21.5. - 28.5.
							(8 dní)",Kréta,105111,Electra Tours,Polopenze,16 450 Kč,Angela Suites,Letecky - Praha,FM
"21.5. - 28.5.
							(8 dní)",Kréta,105111,Electra Tours,Snídaně,14 450 Kč,Angela Suites,Letecky - Praha,FM
"21.5. - 4.6.
							(15 dní)",Kréta,105111,Electra Tours,Polopenze,34 150 Kč,Angela Suites,Letecky - Praha,FM
"21.5. - 4.6.
							(15 dní)",Kréta,105111,Electra Tours,Snídaně,30 150 Kč,Angela Suites,Letecky - Praha,FM
"24.5. - 4.6.
							(12 dní)",Kréta,105111,Electra Tours,Snídaně,26 350 Kč,Angela Suites,Letecky - Praha,FM
"24.5. - 4.6.
							(12 dní)",Kréta,105111,Electra Tours,Polopenze,29 650 Kč,Angela Suites,Letecky - Praha,FM
"28.5. - 4.6.
							(8 dní)",Kréta,105111,Electra Tours,Polopenze,20 990 Kč,Angela Suites,Letecky - Praha,FM
"28.5. - 4.6.
							(8 dní)",Kréta,105111,Electra Tours,Snídaně,18 990 Kč,Angela Suites,Letecky - Praha,FM
"28.5. - 11.6.
							(15 dní)",Kréta,105111,Electra Tours,Polopenze,35 690 Kč,Angela Suites,Letecky - Praha,FM
"28.5. - 11.6.
							(15 dní)",Kréta,105111,Electra Tours,Snídaně,31 690 Kč,Angela Suites,Letecky - Praha,FM
"3.6. - 10.6.
							(8 dní)",Rhodos,101470,Electra Tours,Bez stravy,10 490 Kč,Anita,Letecky - Praha,FM
"3.6. - 10.6.
							(8 dní)",Rhodos,101470,Electra Tours,Snídaně,11 790 Kč,Anita,Letecky - Praha,FM
"6.6. - 13.6.
							(8 dní)",Rhodos,101470,Electra Tours,Snídaně,12 350 Kč,Anita,Letecky - Brno,FM
"6.6. - 13.6.
							(8 dní)",Rhodos,101470,Electra Tours,Bez stravy,11 050 Kč,Anita,Letecky - Brno,FM
"7.6. - 11.6.
							(5 dní)",Rhodos,101470,Electra Tours,Snídaně,10 390 Kč,Anita,Letecky - Praha,FM
"7.6. - 11.6.
							(5 dní)",Rhodos,101470,Electra Tours,Bez stravy,9 650 Kč,Anita,Letecky - Praha,FM
"10.6. - 17.6.
							(8 dní)",Rhodos,101470,Electra Tours,Snídaně,12 050 Kč,Anita,Letecky - Praha,FM
"10.6. - 17.6.
							(8 dní)",Rhodos,101470,Electra Tours,Bez stravy,10 790 Kč,Anita,Letecky - Praha,FM
"10.6. - 21.6.
							(12 dní)",Rhodos,101470,Electra Tours,Snídaně,14 550 Kč,Anita,Letecky - Praha,FM
"10.6. - 21.6.
							(12 dní)",Rhodos,101470,Electra Tours,Bez stravy,12 490 Kč,Anita,Letecky - Praha,FM
"30.7. - 10.8.
							(12 dní)",Rhodos,34522,Electra Tours,All Inclusive,22 190 Kč,Rhodian Sun,Letecky - Praha,FM
"2.8. - 6.8.
							(5 dní)",Rhodos,34522,Electra Tours,Polopenze,12 250 Kč,Rhodian Sun,Letecky - Praha,Last minute
"2.8. - 6.8.
							(5 dní)",Rhodos,34522,Electra Tours,All Inclusive,13 390 Kč,Rhodian Sun,Letecky - Praha,Last minute
"5.8. - 12.8.
							(8 dní)",Rhodos,34522,Electra Tours,All Inclusive,17 450 Kč,Rhodian Sun,Letecky - Praha,FM
"5.8. - 12.8.
							(8 dní)",Rhodos,34522,Electra Tours,Polopenze,15 550 Kč,Rhodian Sun,Letecky - Praha,FM
"8.8. - 15.8.
							(8 dní)",Rhodos,34522,Electra Tours,Polopenze,15 090 Kč,Rhodian Sun,Letecky - Brno,FM
"8.8. - 15.8.
							(8 dní)",Rhodos,34522,Electra Tours,All Inclusive,17 090 Kč,Rhodian Sun,Letecky - Brno,FM
"10.8. - 13.8.
							(4 dny)",Rhodos,34522,Electra Tours,All Inclusive,12 150 Kč,Rhodian Sun,Letecky - Praha,Last minute
"10.8. - 13.8.
							(4 dny)",Rhodos,34522,Electra Tours,Polopenze,11 290 Kč,Rhodian Sun,Letecky - Praha,Last minute
"10.8. - 20.8.
							(11 dní)",Rhodos,34522,Electra Tours,Polopenze,18 090 Kč,Rhodian Sun,Letecky - Praha,FM
"19.8. - 26.8.
							(8 dní)",Rhodos,98392,Electra Tours,Snídaně,13 150 Kč,Despina,Letecky - Praha,FM
"20.8. - 31.8.
							(12 dní)",Rhodos,98392,Electra Tours,Snídaně,14 790 Kč,Despina,Letecky - Praha,FM
"22.8. - 29.8.
							(8 dní)",Rhodos,98392,Electra Tours,Snídaně,12 550 Kč,Despina,Letecky - Brno,FM
"23.8. - 2.9.
							(11 dní)",Rhodos,98392,Electra Tours,Snídaně,14 390 Kč,Despina,Letecky - Praha,FM
"24.8. - 27.8.
							(4 dny)",Rhodos,98392,Electra Tours,Snídaně,10 250 Kč,Despina,Letecky - Praha,Last minute
"26.8. - 2.9.
							(8 dní)",Rhodos,98392,Electra Tours,Snídaně,12 690 Kč,Despina,Letecky - Praha,FM
"29.8. - 5.9.
							(8 dní)",Rhodos,98392,Electra Tours,Snídaně,12 050 Kč,Despina,Letecky - Brno,FM
"30.8. - 3.9.
							(5 dní)",Rhodos,98392,Electra Tours,Snídaně,10 490 Kč,Despina,Letecky - Praha,Last minute
"31.8. - 10.9.
							(11 dní)",Rhodos,98392,Electra Tours,Snídaně,13 650 Kč,Despina,Letecky - Praha,FM
